State,Division,Date,Value
New_Mexico,Mountain,2023-05,658.0
Utah,Mountain,2023-05,2091.0
Wyoming,Mountain,2023-05,183.0
Alaska,Pacific,2023-05,55.0
California,Pacific,2023-05,10066.0
Hawaii,Pacific,2023-05,224.0
Oregon,Pacific,2023-05,1602.0
Washington,Pacific,2023-05,3955.0
Connecticut,New_England,2023-04,289.0
Maine,New_England,2023-04,596.0
Massachusetts,New_England,2023-04,819.0
New_Hampshire,New_England,2023-04,397.0
Rhode_Island,New_England,2023-04,88.0
Vermont,New_England,2023-04,165.0
New_Jersey,Middle_Atlantic,2023-04,2194.0
New_York,Middle_Atlantic,2023-04,2011.0
Pennsylvania,Middle_Atlantic,2023-04,1939.0
Illinois,East_North_Central,2023-04,1576.0
Indiana,East_North_Central,2023-04,2401.0
Michigan,East_North_Central,2023-04,1688.0
Ohio,East_North_Central,2023-04,1845.0
Wisconsin,East_North_Central,2023-04,1327.0
Iowa,West_North_Central,2023-04,924.0
Kansas,West_North_Central,2023-04,561.0
Minnesota,West_North_Central,2023-04,2088.0
Missouri,West_North_Central,2023-04,1295.0
Nebraska,West_North_Central,2023-04,606.0
North_Dakota,West_North_Central,2023-04,164.0
South_Dakota,West_North_Central,2023-04,717.0
Delaware,South_Atlantic,2023-04,471.0
District_of_Columbia,South_Atlantic,2023-04,224.0
Florida,South_Atlantic,2023-04,14957.0
Georgia,South_Atlantic,2023-04,5256.0
Maryland,South_Atlantic,2023-04,1230.0
North_Carolina,South_Atlantic,2023-04,7997.0
South_Carolina,South_Atlantic,2023-04,3472.0
Virginia,South_Atlantic,2023-04,2657.0
West_Virginia,South_Atlantic,2023-04,288.0
Alabama,East_South_Central,2023-04,1402.0
Kentucky,East_South_Central,2023-04,1540.0
Mississippi,East_South_Central,2023-04,634.0
Tennessee,East_South_Central,2023-04,5084.0
Arkansas,West_South_Central,2023-04,851.0
Louisiana,West_South_Central,2023-04,1393.0
Oklahoma,West_South_Central,2023-04,1096.0
Texas,West_South_Central,2023-04,17346.0
Arizona,Mountain,2023-04,4268.0
Colorado,Mountain,2023-04,3857.0
Idaho,Mountain,2023-04,1450.0
Montana,Mountain,2023-04,354.0
Nevada,Mountain,2023-04,1245.0
New_Mexico,Mountain,2023-04,680.0
Utah,Mountain,2023-04,1804.0
Wyoming,Mountain,2023-04,129.0
Alaska,Pacific,2023-04,41.0
California,Pacific,2023-04,9186.0
Hawaii,Pacific,2023-04,341.0
Oregon,Pacific,2023-04,1840.0
Washington,Pacific,2023-04,2818.0
Connecticut,New_England,2023-03,542.0
Maine,New_England,2023-03,476.0
Massachusetts,New_England,2023-03,1475.0
New_Hampshire,New_England,2023-03,258.0
Rhode_Island,New_England,2023-03,101.0
Vermont,New_England,2023-03,328.0
New_Jersey,Middle_Atlantic,2023-03,3498.0
New_York,Middle_Atlantic,2023-03,3888.0
