Location,Total
United_States,95351
Northeast,9100
New_England,2492
Connecticut,525
Maine,282
Massachusetts,1339
New_Hampshire,185
Rhode_Island,64
Vermont,97
Middle_Atlantic,6608
New_Jersey,1701
New_York,3277
Pennsylvania,1630
Midwest,8283
East_North_Central_D,5128
Illinois,1204
Indiana,1091
Michigan,981
Ohio,1155
Wisconsin,697
West_North_Central_D,3155
Iowa,417
Kansas,379
Minnesota,987
Missouri,654
Nebraska,435
North_Dakota,112
South_Dakota,171
South,49321
South_Atlantic,27548
Delaware,500
District_of_Columbia,637
Florida,11548
Georgia,3316
Maryland,1314
North_Carolina,5512
South_Carolina,2843
Virginia,1665
West_Virginia,213
East_South_Central_D,4387
Alabama,865
Kentucky,887
Mississippi,496
Tennessee,2139
West_South_Central_D,17386
Arkansas,789
Louisiana,979
Oklahoma,634
Texas,14984
West,28647
Mountain,12521
Arizona,3166
Colorado,4293
Idaho,938
Montana,324
Nevada,1140
New_Mexico,349
Utah,2210
Wyoming,101
Pacific,16126
Alaska,136
California,10709
Hawaii,222
Oregon,1495
Washington,3564
