Location,Total
United_States,101400
Northeast,11032
New_England,3073
Connecticut,434
Maine,417
Massachusetts,1460
New_Hampshire,376
Rhode_Island,94
Vermont,292
Middle_Atlantic,7959
New_Jersey,2229
New_York,3626
Pennsylvania,2104
Midwest,17613
East_North_Central_D,9714
Illinois,2015
Indiana,1486
Michigan,2313
Ohio,2050
Wisconsin,1850
West_North_Central_D,7899
Iowa,1058
Kansas,994
Minnesota,2365
Missouri,1512
Nebraska,738
North_Dakota,442
South_Dakota,790
South,46556
South_Atlantic,25061
Delaware,479
District_of_Columbia,329
Florida,7966
Georgia,3826
Maryland,1819
North_Carolina,5068
South_Carolina,2641
Virginia,2706
West_Virginia,227
East_South_Central_D,6284
Alabama,1374
Kentucky,942
Mississippi,545
Tennessee,3423
West_South_Central_D,15211
Arkansas,1035
Louisiana,1166
Oklahoma,777
Texas,12233
West,26199
Mountain,11255
Arizona,3108
Colorado,3016
Idaho,1196
Montana,369
Nevada,1043
New_Mexico,357
Utah,1975
Wyoming,191
Pacific,14944
Alaska,122
California,8910
Hawaii,817
Oregon,1670
Washington,3425
