Location,Total
United_States,53191
Northeast,6306
New_England,1609
Connecticut,239
Maine,280
Massachusetts,721
New_Hampshire,222
Rhode_Island,77
Vermont,70
Middle_Atlantic,4697
New_Jersey,1283
New_York,1545
Pennsylvania,1869
Midwest,9116
East_North_Central,5067
Illinois,1008
Indiana,949
Michigan,984
Ohio,1155
Wisconsin,971
West_North_Central,4049
Iowa,525
Kansas,413
Minnesota,1007
Missouri,886
Nebraska,477
North_Dakota,451
South_Dakota,290
South,25917
South_Atlantic,12385
Delaware,205
District_of_Columbia,117
Florida,3196
Georgia,1382
Maryland,1265
North_Carolina,3046
South_Carolina,1181
Virginia,1871
West_Virginia,122
East_South_Central,3420
Alabama,623
Kentucky,640
Mississippi,480
Tennessee,1677
West_South_Central,10112
Arkansas,845
Louisiana,921
Oklahoma,656
Texas,7690
West,11852
Mountain,4476
Arizona,956
Colorado,889
Idaho,265
Montana,211
Nevada,463
New_Mexico,344
Utah,1240
Wyoming,108
Pacific,7376
Alaska,127
California,3633
Hawaii,306
Oregon,864
Washington,2446
