Location,Total
United_States,88145
Northeast,10844
New_England,3140
Connecticut,456
Maine,271
Massachusetts,1880
New_Hampshire,316
Rhode_Island,76
Vermont,141
Middle_Atlantic,7704
New_Jersey,2261
New_York,2847
Pennsylvania,2596
Midwest,15039
East_North_Central,8264
Illinois,1336
Indiana,1688
Michigan,1445
Ohio,2288
Wisconsin,1507
West_North_Central,6775
Iowa,1136
Kansas,513
Minnesota,2071
Missouri,916
Nebraska,735
North_Dakota,1002
South_Dakota,402
South,41212
South_Atlantic,21234
Delaware,435
District_of_Columbia,556
Florida,7248
Georgia,2808
Maryland,1254
North_Carolina,3828
South_Carolina,2018
Virginia,2904
West_Virginia,183
East_South_Central,4189
Alabama,949
Kentucky,783
Mississippi,440
Tennessee,2017
West_South_Central,15789
Arkansas,624
Louisiana,1185
Oklahoma,1200
Texas,12780
West,21050
Mountain,8608
Arizona,2290
Colorado,2265
Idaho,836
Montana,541
Nevada,700
New_Mexico,350
Utah,1433
Wyoming,193
Pacific,12442
Alaska,113
California,7682
Hawaii,219
Oregon,1633
Washington,2795
