Location,Total
United_States,97722
Northeast,11314
New_England,2746
Connecticut,553
Maine,497
Massachusetts,1005
New_Hampshire,388
Rhode_Island,130
Vermont,173
Middle_Atlantic,8568
New_Jersey,1753
New_York,4126
Pennsylvania,2689
Midwest,17450
East_North_Central,11368
Illinois,3427
Indiana,1677
Michigan,1830
Ohio,2454
Wisconsin,1980
West_North_Central,6082
Iowa,1060
Kansas,767
Minnesota,1430
Missouri,1351
Nebraska,741
North_Dakota,338
South_Dakota,395
South,45513
South_Atlantic,23369
Delaware,391
District_of_Columbia,138
Florida,6358
Georgia,4646
Maryland,948
North_Carolina,6185
South_Carolina,2523
Virginia,1919
West_Virginia,261
East_South_Central,5896
Alabama,1689
Kentucky,793
Mississippi,933
Tennessee,2481
West_South_Central,16248
Arkansas,946
Louisiana,2295
Oklahoma,1476
Texas,11531
West,23445
Mountain,11517
Arizona,3349
Colorado,1983
Idaho,883
Montana,322
Nevada,3114
New_Mexico,459
Utah,1208
Wyoming,199
Pacific,11928
Alaska,128
California,6691
Hawaii,412
Oregon,1628
Washington,3069
