Location,Total
United_States,145463
Northeast,14391
New_England,3868
Connecticut,807
Maine,629
Massachusetts,1548
New_Hampshire,454
Rhode_Island,129
Vermont,301
Middle_Atlantic,10523
New_Jersey,2620
New_York,4592
Pennsylvania,3311
Midwest,25479
East_North_Central,16383
Illinois,5562
Indiana,2233
Michigan,2941
Ohio,3420
Wisconsin,2227
West_North_Central,9096
Iowa,1162
Kansas,1215
Minnesota,2797
Missouri,2471
Nebraska,750
North_Dakota,236
South_Dakota,465
South,71054
South_Atlantic,40909
Delaware,623
District_of_Columbia,9
Florida,16206
Georgia,7485
Maryland,1521
North_Carolina,7312
South_Carolina,3829
Virginia,3505
West_Virginia,419
East_South_Central,8866
Alabama,2624
Kentucky,1322
Mississippi,1441
Tennessee,3479
West_South_Central,21279
Arkansas,1017
Louisiana,1737
Oklahoma,1246
Texas,17279
West,34539
Mountain,16117
Arizona,4896
Colorado,3038
Idaho,1642
Montana,414
Nevada,2716
New_Mexico,1027
Utah,2131
Wyoming,253
Pacific,18422
Alaska,195
California,10624
Hawaii,557
Oregon,2107
Washington,4939
