Location,Total
United_States,46525
Northeast,5666
New_England,1709
Connecticut,363
Maine,242
Massachusetts,584
New_Hampshire,243
Rhode_Island,101
Vermont,176
Middle_Atlantic,3957
New_Jersey,996
New_York,1263
Pennsylvania,1698
Midwest,9761
East_North_Central,5146
Illinois,1011
Indiana,1194
Michigan,775
Ohio,1115
Wisconsin,1051
West_North_Central,4615
Iowa,1047
Kansas,805
Minnesota,994
Missouri,707
Nebraska,391
North_Dakota,374
South_Dakota,297
South,21826
South_Atlantic,11303
Delaware,249
District_of_Columbia,396
Florida,2881
Georgia,1328
Maryland,623
North_Carolina,2757
South_Carolina,1460
Virginia,1441
West_Virginia,168
East_South_Central,2888
Alabama,725
Kentucky,574
Mississippi,389
Tennessee,1200
West_South_Central,7635
Arkansas,588
Louisiana,1016
Oklahoma,724
Texas,5307
West,9272
Mountain,3931
Arizona,1111
Colorado,617
Idaho,364
Montana,142
Nevada,511
New_Mexico,359
Utah,731
Wyoming,96
Pacific,5341
Alaska,60
California,2793
Hawaii,296
Oregon,683
Washington,1509
