Location,Total
United_States,114394
Northeast,12337
New_England,3150
Connecticut,504
Maine,473
Massachusetts,1479
New_Hampshire,364
Rhode_Island,83
Vermont,247
Middle_Atlantic,9187
New_Jersey,2248
New_York,4503
Pennsylvania,2436
Midwest,17547
East_North_Central_D,10164
Illinois,1516
Indiana,1544
Michigan,2853
Ohio,2229
Wisconsin,2022
West_North_Central_D,7383
Iowa,1201
Kansas,732
Minnesota,2168
Missouri,1659
Nebraska,617
North_Dakota,381
South_Dakota,625
South,55176
South_Atlantic,29353
Delaware,440
District_of_Columbia,927
Florida,9728
Georgia,5473
Maryland,1590
North_Carolina,5210
South_Carolina,3093
Virginia,2608
West_Virginia,284
East_South_Central_D,6571
Alabama,1653
Kentucky,1459
Mississippi,643
Tennessee,2816
West_South_Central_D,19252
Arkansas,951
Louisiana,1618
Oklahoma,1206
Texas,15477
West,29334
Mountain,13611
Arizona,4711
Colorado,3013
Idaho,1031
Montana,362
Nevada,1528
New_Mexico,462
Utah,2328
Wyoming,176
Pacific,15723
Alaska,137
California,8987
Hawaii,776
Oregon,1271
Washington,4552
