Location,Total
United_States,140506
Northeast,14307
New_England,4249
Connecticut,1107
Maine,578
Massachusetts,1570
New_Hampshire,546
Rhode_Island,211
Vermont,237
Middle_Atlantic,10058
New_Jersey,2113
New_York,3745
Pennsylvania,4200
Midwest,32180
East_North_Central,22530
Illinois,5073
Indiana,3933
Michigan,5349
Ohio,4680
Wisconsin,3495
West_North_Central,9650
Iowa,1053
Kansas,1718
Minnesota,3015
Missouri,2248
Nebraska,901
North_Dakota,366
South_Dakota,349
South,62128
South_Atlantic,37870
Delaware,405
Dist._of_Columbia,0
Florida,11174
Georgia,7949
Maryland,2623
North_Carolina,7830
South_Carolina,2640
Virginia,4892
West_Virginia,357
East_South_Central,9727
Alabama,1969
Kentucky,1783
Mississippi,1187
Tennessee,4788
West_South_Central,14531
Arkansas,1065
Louisiana,1397
Oklahoma,804
Texas,11265
West,31891
Mountain,16596
Arizona,4748
Colorado,3581
Idaho,1085
Montana,344
Nevada,3194
New_Mexico,1082
Utah,2340
Wyoming,222
Pacific,15295
Alaska,369
California,8230
Hawaii,204
Oregon,2341
Washington,4151
