Location,Total
United_States,96672
Northeast,7932
New_England,2560
Connecticut,610
Maine,247
Massachusetts,1066
New_Hampshire,253
Rhode_Island,182
Vermont,202
Middle_Atlantic,5372
New_Jersey,1430
New_York,1916
Pennsylvania,2026
Midwest,17338
East_North_Central,12559
Illinois,2621
Indiana,2237
Michigan,3040
Ohio,2853
Wisconsin,1808
West_North_Central,4779
Iowa,495
Kansas,909
Minnesota,1407
Missouri,1354
Nebraska,363
North_Dakota,61
South_Dakota,190
South,43574
South_Atlantic,27623
Delaware,298
Dist._of_Columbia,0
Florida,9668
Georgia,6324
Maryland,1600
North_Carolina,4622
South_Carolina,1890
Virginia,3016
West_Virginia,205
East_South_Central,6295
Alabama,1856
Kentucky,1261
Mississippi,528
Tennessee,2650
West_South_Central,9656
Arkansas,734
Louisiana,925
Oklahoma,1026
Texas,6971
West,27828
Mountain,14050
Arizona,4323
Colorado,4105
Idaho,596
Montana,262
Nevada,2552
New_Mexico,889
Utah,1270
Wyoming,53
Pacific,13778
Alaska,86
California,7695
Hawaii,267
Oregon,2308
Washington,3422
