Location,Total
United_States,83457
Northeast,8063
New_England,1799
Connecticut,305
Maine,210
Massachusetts,993
New_Hampshire,160
Rhode_Island,93
Vermont,38
Middle_Atlantic,6264
New_Jersey,1941
New_York,2897
Pennsylvania,1426
Midwest,10574
East_North_Central,5900
Illinois,1688
Indiana,1129
Michigan,815
Ohio,1334
Wisconsin,934
West_North_Central,4674
Iowa,537
Kansas,397
Minnesota,1302
Missouri,1019
Nebraska,440
North_Dakota,502
South_Dakota,477
South,44627
South_Atlantic,21607
Delaware,479
District_of_Columbia,129
Florida,7543
Georgia,3391
Maryland,1068
North_Carolina,4277
South_Carolina,2300
Virginia,2253
West_Virginia,167
East_South_Central,4043
Alabama,1106
Kentucky,603
Mississippi,353
Tennessee,1981
West_South_Central,18977
Arkansas,869
Louisiana,1066
Oklahoma,1574
Texas,15468
West,20193
Mountain,8377
Arizona,2987
Colorado,2093
Idaho,673
Montana,360
Nevada,881
New_Mexico,352
Utah,941
Wyoming,90
Pacific,11816
Alaska,65
California,7420
Hawaii,724
Oregon,1013
Washington,2594
