Location,Total
United_States,159813
Northeast,16550
New_England,4373
Connecticut,1147
Maine,594
Massachusetts,1776
New_Hampshire,493
Rhode_Island,237
Vermont,126
Middle_Atlantic,12177
New_Jersey,2863
New_York,5280
Pennsylvania,4034
Midwest,30045
East_North_Central,19972
Illinois,5961
Indiana,2917
Michigan,3784
Ohio,4565
Wisconsin,2745
West_North_Central,10073
Iowa,1482
Kansas,1621
Minnesota,3244
Missouri,2287
Nebraska,701
North_Dakota,214
South_Dakota,524
South,73275
South_Atlantic,45527
Delaware,652
District_of_Columbia,6
Florida,19308
Georgia,7341
Maryland,2046
North_Carolina,7394
South_Carolina,4298
Virginia,4103
West_Virginia,379
East_South_Central,8644
Alabama,2720
Kentucky,1303
Mississippi,1025
Tennessee,3596
West_South_Central,19104
Arkansas,1043
Louisiana,1832
Oklahoma,1934
Texas,14295
West,39943
Mountain,18468
Arizona,5617
Colorado,3251
Idaho,1510
Montana,376
Nevada,3955
New_Mexico,1183
Utah,2312
Wyoming,264
Pacific,21475
Alaska,134
California,13809
Hawaii,556
Oregon,2116
Washington,4860
