Location,Total
United_States,59489
Northeast,6459
New_England,1635
Connecticut,421
Maine,270
Massachusetts,533
New_Hampshire,192
Rhode_Island,70
Vermont,149
Middle_Atlantic,4824
New_Jersey,900
New_York,2372
Pennsylvania,1552
Midwest,10291
East_North_Central,5728
Illinois,1040
Indiana,1360
Michigan,694
Ohio,1370
Wisconsin,1264
West_North_Central,4563
Iowa,801
Kansas,473
Minnesota,874
Missouri,1020
Nebraska,639
North_Dakota,381
South_Dakota,375
South,30764
South_Atlantic,13932
Delaware,237
District_of_Columbia,5
Florida,3597
Georgia,1824
Maryland,1129
North_Carolina,3502
South_Carolina,1606
Virginia,1869
West_Virginia,163
East_South_Central,5396
Alabama,1314
Kentucky,714
Mississippi,1633
Tennessee,1735
West_South_Central,11436
Arkansas,628
Louisiana,1427
Oklahoma,1063
Texas,8318
West,11975
Mountain,6116
Arizona,1606
Colorado,896
Idaho,590
Montana,282
Nevada,965
New_Mexico,398
Utah,1213
Wyoming,166
Pacific,5859
Alaska,93
California,3428
Hawaii,221
Oregon,625
Washington,1492
