Location,Total
United_States,207948
Northeast,22217
New_England,6183
Connecticut,1192
Maine,1002
Massachusetts,2635
New_Hampshire,740
Rhode_Island,277
Vermont,337
Middle_Atlantic,16034
New_Jersey,4166
New_York,7136
Pennsylvania,4732
Midwest,35531
East_North_Central,24057
Illinois,6021
Indiana,3640
Michigan,4677
Ohio,5734
Wisconsin,3985
West_North_Central,11474
Iowa,1580
Kansas,1271
Minnesota,3830
Missouri,2881
Nebraska,1078
North_Dakota,342
South_Dakota,492
South,95983
South_Atlantic,62452
Delaware,911
District_of_Columbia,311
Florida,26561
Georgia,8777
Maryland,3310
North_Carolina,9163
South_Carolina,5663
Virginia,7165
West_Virginia,591
East_South_Central,9978
Alabama,2207
Kentucky,2011
Mississippi,1207
Tennessee,4553
West_South_Central,23553
Arkansas,1247
Louisiana,2027
Oklahoma,1735
Texas,18544
West,54217
Mountain,25283
Arizona,8737
Colorado,4359
Idaho,2048
Montana,393
Nevada,5509
New_Mexico,1347
Utah,2585
Wyoming,305
Pacific,28934
Alaska,357
California,19869
Hawaii,841
Oregon,2826
Washington,5041
