Location,Total
United_States,39638
Northeast,5294
New_England,1721
Connecticut,300
Maine,216
Massachusetts,828
New_Hampshire,209
Rhode_Island,66
Vermont,102
Middle_Atlantic,3573
New_Jersey,911
New_York,1310
Pennsylvania,1352
Midwest,7232
East_North_Central,4145
Illinois,781
Indiana,827
Michigan,960
Ohio,742
Wisconsin,835
West_North_Central,3087
Iowa,734
Kansas,384
Minnesota,568
Missouri,602
Nebraska,381
North_Dakota,240
South_Dakota,178
South,18777
South_Atlantic,9245
Delaware,217
District_of_Columbia,45
Florida,2710
Georgia,1029
Maryland,694
North_Carolina,2262
South_Carolina,924
Virginia,1265
West_Virginia,99
East_South_Central,2149
Alabama,596
Kentucky,403
Mississippi,400
Tennessee,750
West_South_Central,7383
Arkansas,300
Louisiana,814
Oklahoma,468
Texas,5801
West,8335
Mountain,3608
Arizona,755
Colorado,759
Idaho,446
Montana,139
Nevada,240
New_Mexico,272
Utah,811
Wyoming,186
Pacific,4727
Alaska,37
California,2877
Hawaii,165
Oregon,463
Washington,1185
