Location,Total
United_States,97628
Northeast,11660
New_England,2753
Connecticut,327
Maine,340
Massachusetts,1246
New_Hampshire,620
Rhode_Island,102
Vermont,118
Middle_Atlantic,8907
New_Jersey,3115
New_York,3683
Pennsylvania,2109
Midwest,17418
East_North_Central,10256
Illinois,2327
Indiana,2073
Michigan,1990
Ohio,2431
Wisconsin,1435
West_North_Central,7162
Iowa,954
Kansas,450
Minnesota,1830
Missouri,1261
Nebraska,636
North_Dakota,1649
South_Dakota,382
South,46323
South_Atlantic,24527
Delaware,415
District_of_Columbia,922
Florida,7801
Georgia,3472
Maryland,1898
North_Carolina,4684
South_Carolina,2352
Virginia,2779
West_Virginia,204
East_South_Central,4496
Alabama,1103
Kentucky,793
Mississippi,852
Tennessee,1748
West_South_Central,17300
Arkansas,408
Louisiana,1199
Oklahoma,976
Texas,14717
West,22227
Mountain,9820
Arizona,2324
Colorado,2980
Idaho,714
Montana,491
Nevada,1487
New_Mexico,310
Utah,1341
Wyoming,173
Pacific,12407
Alaska,130
California,7347
Hawaii,279
Oregon,1445
Washington,3206
