Location,Total
United_States,87327
Northeast,9636
New_England,1631
Connecticut,317
Maine,208
Massachusetts,784
New_Hampshire,172
Rhode_Island,84
Vermont,66
Middle_Atlantic,8005
New_Jersey,2104
New_York,4548
Pennsylvania,1353
Midwest,9976
East_North_Central_D,5799
Illinois,751
Indiana,1124
Michigan,1208
Ohio,2037
Wisconsin,679
West_North_Central_D,4177
Iowa,416
Kansas,497
Minnesota,1521
Missouri,1070
Nebraska,351
North_Dakota,65
South_Dakota,257
South,48562
South_Atlantic,25464
Delaware,396
District_of_Columbia,155
Florida,10023
Georgia,4423
Maryland,1042
North_Carolina,4304
South_Carolina,2633
Virginia,2282
West_Virginia,206
East_South_Central_D,5023
Alabama,1083
Kentucky,698
Mississippi,920
Tennessee,2322
West_South_Central_D,18075
Arkansas,754
Louisiana,1121
Oklahoma,964
Texas,15236
West,19153
Mountain,9214
Arizona,2484
Colorado,3146
Idaho,413
Montana,134
Nevada,1314
New_Mexico,280
Utah,1380
Wyoming,63
Pacific,9939
Alaska,70
California,5376
Hawaii,252
Oregon,1464
Washington,2777
