Location,Total
United_States,102187
Northeast,13222
New_England,2865
Connecticut,582
Maine,526
Massachusetts,1091
New_Hampshire,415
Rhode_Island,118
Vermont,133
Middle_Atlantic,10357
New_Jersey,2091
New_York,5538
Pennsylvania,2728
Midwest,18370
East_North_Central,11495
Illinois,3217
Indiana,1924
Michigan,1638
Ohio,2542
Wisconsin,2174
West_North_Central,6875
Iowa,926
Kansas,771
Minnesota,1477
Missouri,1782
Nebraska,1227
North_Dakota,320
South_Dakota,372
South,44157
South_Atlantic,23025
Delaware,268
District_of_Columbia,13
Florida,6594
Georgia,4006
Maryland,1429
North_Carolina,5588
South_Carolina,2223
Virginia,2625
West_Virginia,279
East_South_Central,5500
Alabama,1540
Kentucky,1097
Mississippi,664
Tennessee,2199
West_South_Central,15632
Arkansas,555
Louisiana,1325
Oklahoma,1153
Texas,12599
West,26438
Mountain,13257
Arizona,2286
Colorado,2610
Idaho,767
Montana,386
Nevada,5059
New_Mexico,623
Utah,1263
Wyoming,263
Pacific,13181
Alaska,122
California,7477
Hawaii,447
Oregon,1342
Washington,3793
