Location,Total
United_States,143525
Northeast,11688
New_England,3048
Connecticut,606
Maine,420
Massachusetts,1134
New_Hampshire,533
Rhode_Island,163
Vermont,192
Middle_Atlantic,8640
New_Jersey,2151
New_York,3636
Pennsylvania,2853
Midwest,26564
East_North_Central,18237
Illinois,4524
Indiana,3193
Michigan,3400
Ohio,4206
Wisconsin,2914
West_North_Central,8327
Iowa,1360
Kansas,965
Minnesota,2349
Missouri,2385
Nebraska,883
North_Dakota,92
South_Dakota,293
South,67479
South_Atlantic,40349
Delaware,464
Dist._of_Columbia,14
Florida,15644
Georgia,7996
Maryland,2132
North_Carolina,6322
South_Carolina,2907
Virginia,4491
West_Virginia,379
East_South_Central,8176
Alabama,2070
Kentucky,1778
Mississippi,986
Tennessee,3342
West_South_Central,18954
Arkansas,1525
Louisiana,1335
Oklahoma,1948
Texas,14146
West,37794
Mountain,16167
Arizona,5326
Colorado,2813
Idaho,1039
Montana,283
Nevada,3353
New_Mexico,1506
Utah,1683
Wyoming,164
Pacific,21627
Alaska,151
California,15201
Hawaii,649
Oregon,1901
Washington,3725
