Location,Total
United_States,93510
Northeast,9552
New_England,3115
Connecticut,1205
Maine,174
Massachusetts,1122
New_Hampshire,260
Rhode_Island,189
Vermont,165
Middle_Atlantic,6437
New_Jersey,1867
New_York,2052
Pennsylvania,2518
Midwest,14579
East_North_Central,10161
Illinois,2053
Indiana,1779
Michigan,2444
Ohio,2611
Wisconsin,1274
West_North_Central,4418
Iowa,665
Kansas,611
Minnesota,1003
Missouri,1312
Nebraska,693
North_Dakota,16
South_Dakota,118
South,45547
South_Atlantic,28350
Delaware,631
Dist._of_Columbia,0
Florida,10712
Georgia,5602
Maryland,1764
North_Carolina,4814
South_Carolina,1949
Virginia,2721
West_Virginia,157
East_South_Central,5882
Alabama,1051
Kentucky,1397
Mississippi,901
Tennessee,2533
West_South_Central,11315
Arkansas,985
Louisiana,973
Oklahoma,808
Texas,8549
West,23832
Mountain,12553
Arizona,3775
Colorado,3230
Idaho,498
Montana,71
Nevada,2949
New_Mexico,636
Utah,1298
Wyoming,96
Pacific,11279
Alaska,93
California,6346
Hawaii,179
Oregon,1546
Washington,3115
