Location,Total
United_States,172625
Northeast,16032
New_England,4749
Connecticut,841
Maine,733
Massachusetts,1969
New_Hampshire,786
Rhode_Island,190
Vermont,230
Middle_Atlantic,11283
New_Jersey,3118
New_York,4029
Pennsylvania,4136
Midwest,34135
East_North_Central,22750
Illinois,6065
Indiana,3989
Michigan,3956
Ohio,4962
Wisconsin,3778
West_North_Central,11385
Iowa,1614
Kansas,1201
Minnesota,3826
Missouri,2465
Nebraska,1392
North_Dakota,449
South_Dakota,438
South,79692
South_Atlantic,49659
Delaware,708
District_of_Columbia,54
Florida,20480
Georgia,8636
Maryland,2299
North_Carolina,7856
South_Carolina,4331
Virginia,4949
West_Virginia,346
East_South_Central,8591
Alabama,2538
Kentucky,1445
Mississippi,1108
Tennessee,3500
West_South_Central,21442
Arkansas,1470
Louisiana,1590
Oklahoma,1349
Texas,17033
West,42766
Mountain,20448
Arizona,7691
Colorado,3401
Idaho,1639
Montana,562
Nevada,3283
New_Mexico,1243
Utah,2292
Wyoming,337
Pacific,22318
Alaska,199
California,14147
Hawaii,849
Oregon,2696
Washington,4427
