Location,Total
United_States,157340
Northeast,16746
New_England,4970
Connecticut,1099
Maine,818
Massachusetts,1507
New_Hampshire,1056
Rhode_Island,177
Vermont,313
Middle_Atlantic,11776
New_Jersey,2767
New_York,5227
Pennsylvania,3782
Midwest,32544
East_North_Central,22732
Illinois,5663
Indiana,3909
Michigan,4480
Ohio,4768
Wisconsin,3912
West_North_Central,9812
Iowa,1111
Kansas,1170
Minnesota,3539
Missouri,2446
Nebraska,808
North_Dakota,345
South_Dakota,393
South,70499
South_Atlantic,45638
Delaware,528
Dist._of_Columbia,661
Florida,16840
Georgia,9776
Maryland,2517
North_Carolina,6922
South_Carolina,2609
Virginia,5442
West_Virginia,343
East_South_Central,7542
Alabama,2091
Kentucky,1747
Mississippi,769
Tennessee,2935
West_South_Central,17319
Arkansas,834
Louisiana,2202
Oklahoma,964
Texas,13319
West,37551
Mountain,17054
Arizona,5991
Colorado,3548
Idaho,1027
Montana,235
Nevada,3173
New_Mexico,1131
Utah,1775
Wyoming,174
Pacific,20497
Alaska,271
California,13924
Hawaii,407
Oregon,2137
Washington,3758
