Location,Total
United_States,104827
Northeast,10473
New_England,2752
Connecticut,785
Maine,285
Massachusetts,1034
New_Hampshire,292
Rhode_Island,264
Vermont,92
Middle_Atlantic,7721
New_Jersey,3078
New_York,2246
Pennsylvania,2397
Midwest,16353
East_North_Central,11216
Illinois,2699
Indiana,1915
Michigan,2706
Ohio,2415
Wisconsin,1481
West_North_Central,5137
Iowa,517
Kansas,993
Minnesota,1322
Missouri,1664
Nebraska,353
North_Dakota,79
South_Dakota,209
South,50441
South_Atlantic,32367
Delaware,354
Dist._of_Columbia,2
Florida,11268
Georgia,7163
Maryland,1923
North_Carolina,4599
South_Carolina,3354
Virginia,3507
West_Virginia,197
East_South_Central,6168
Alabama,1368
Kentucky,1278
Mississippi,634
Tennessee,2888
West_South_Central,11906
Arkansas,591
Louisiana,1127
Oklahoma,682
Texas,9506
West,27560
Mountain,12728
Arizona,4093
Colorado,3911
Idaho,542
Montana,68
Nevada,2312
New_Mexico,662
Utah,1052
Wyoming,88
Pacific,14832
Alaska,91
California,10430
Hawaii,229
Oregon,1177
Washington,2905
