Location,Total
United_States,145426
Northeast,11012
New_England,2704
Connecticut,547
Maine,431
Massachusetts,1130
New_Hampshire,359
Rhode_Island,124
Vermont,113
Middle_Atlantic,8308
New_Jersey,2085
New_York,3356
Pennsylvania,2867
Midwest,21315
East_North_Central,14628
Illinois,3795
Indiana,1986
Michigan,4089
Ohio,3092
Wisconsin,1666
West_North_Central,6687
Iowa,896
Kansas,970
Minnesota,1472
Missouri,2131
Nebraska,677
North_Dakota,292
South_Dakota,249
South,74474
South_Atlantic,47174
Delaware,647
District_of_Columbia,246
Florida,20176
Georgia,7654
Maryland,2602
North_Carolina,7315
South_Carolina,3911
Virginia,4262
West_Virginia,361
East_South_Central,7873
Alabama,2308
Kentucky,1701
Mississippi,746
Tennessee,3118
West_South_Central,19427
Arkansas,1340
Louisiana,1488
Oklahoma,1296
Texas,15303
West,38625
Mountain,18018
Arizona,6757
Colorado,3105
Idaho,1453
Montana,208
Nevada,3435
New_Mexico,1066
Utah,1826
Wyoming,168
Pacific,20607
Alaska,104
California,14095
Hawaii,597
Oregon,2147
Washington,3664
