Location,Total
United_States,131878
Northeast,14102
New_England,3852
Connecticut,812
Maine,641
Massachusetts,1338
New_Hampshire,614
Rhode_Island,243
Vermont,204
Middle_Atlantic,10250
New_Jersey,2176
New_York,4602
Pennsylvania,3472
Midwest,23178
East_North_Central,15383
Illinois,4638
Indiana,2077
Michigan,2484
Ohio,3295
Wisconsin,2889
West_North_Central,7795
Iowa,1294
Kansas,1130
Minnesota,2018
Missouri,1793
Nebraska,879
North_Dakota,290
South_Dakota,391
South,65392
South_Atlantic,38164
Delaware,337
District_of_Columbia,69
Florida,12902
Georgia,7878
Maryland,1679
North_Carolina,7794
South_Carolina,3294
Virginia,3862
West_Virginia,349
East_South_Central,8016
Alabama,2459
Kentucky,1175
Mississippi,1315
Tennessee,3067
West_South_Central,19212
Arkansas,716
Louisiana,1980
Oklahoma,972
Texas,15544
West,29206
Mountain,12452
Arizona,3491
Colorado,2311
Idaho,1055
Montana,394
Nevada,1916
New_Mexico,804
Utah,2111
Wyoming,370
Pacific,16754
Alaska,174
California,9899
Hawaii,1089
Oregon,1987
Washington,3605
