Location,Total
United_States,66545
Northeast,6063
New_England,1928
Connecticut,369
Maine,246
Massachusetts,967
New_Hampshire,200
Rhode_Island,75
Vermont,71
Middle_Atlantic,4135
New_Jersey,1160
New_York,1696
Pennsylvania,1279
Midwest,12543
East_North_Central,7096
Illinois,1511
Indiana,1440
Michigan,1122
Ohio,1869
Wisconsin,1154
West_North_Central,5447
Iowa,945
Kansas,566
Minnesota,1313
Missouri,1078
Nebraska,794
North_Dakota,365
South_Dakota,386
South,33846
South_Atlantic,17918
Delaware,313
District_of_Columbia,626
Florida,5499
Georgia,1400
Maryland,1409
North_Carolina,4415
South_Carolina,1548
Virginia,2571
West_Virginia,137
East_South_Central,3253
Alabama,928
Kentucky,523
Mississippi,333
Tennessee,1469
West_South_Central,12675
Arkansas,417
Louisiana,1180
Oklahoma,957
Texas,10121
West,14093
Mountain,6959
Arizona,1479
Colorado,2059
Idaho,548
Montana,247
Nevada,726
New_Mexico,329
Utah,1456
Wyoming,115
Pacific,7134
Alaska,68
California,4017
Hawaii,159
Oregon,721
Washington,2169
