Location,Total
United_States,64965
Northeast,6090
New_England,1999
Connecticut,533
Maine,178
Massachusetts,1076
New_Hampshire,109
Rhode_Island,49
Vermont,54
Middle_Atlantic,4091
New_Jersey,1387
New_York,1222
Pennsylvania,1482
Midwest,7222
East_North_Central,3964
Illinois,660
Indiana,960
Michigan,869
Ohio,920
Wisconsin,555
West_North_Central,3258
Iowa,309
Kansas,701
Minnesota,638
Missouri,933
Nebraska,308
North_Dakota,105
South_Dakota,264
South,37934
South_Atlantic,18527
Delaware,309
District_of_Columbia,300
Florida,7585
Georgia,1723
Maryland,1233
North_Carolina,3389
South_Carolina,2210
Virginia,1637
West_Virginia,141
East_South_Central,4525
Alabama,835
Kentucky,939
Mississippi,329
Tennessee,2422
West_South_Central,14882
Arkansas,347
Louisiana,1003
Oklahoma,1159
Texas,12373
West,13719
Mountain,6274
Arizona,1735
Colorado,1539
Idaho,446
Montana,120
Nevada,676
New_Mexico,448
Utah,1241
Wyoming,69
Pacific,7445
Alaska,79
California,4221
Hawaii,140
Oregon,1236
Washington,1769
