Location,Total
United_States,132716
Northeast,12279
New_England,3299
Connecticut,689
Maine,459
Massachusetts,1238
New_Hampshire,591
Rhode_Island,168
Vermont,154
Middle_Atlantic,8980
New_Jersey,2010
New_York,4175
Pennsylvania,2795
Midwest,25536
East_North_Central,17332
Illinois,3982
Indiana,3113
Michigan,3263
Ohio,3993
Wisconsin,2981
West_North_Central,8204
Iowa,1049
Kansas,763
Minnesota,2996
Missouri,2485
Nebraska,526
North_Dakota,56
South_Dakota,329
South,62076
South_Atlantic,39285
Delaware,495
Dist._of_Columbia,311
Florida,13952
Georgia,6785
Maryland,2023
North_Carolina,8234
South_Carolina,2187
Virginia,5003
West_Virginia,295
East_South_Central,5659
Alabama,1551
Kentucky,1206
Mississippi,566
Tennessee,2336
West_South_Central,17132
Arkansas,1047
Louisiana,1554
Oklahoma,841
Texas,13690
West,32825
Mountain,15790
Arizona,5117
Colorado,3731
Idaho,1284
Montana,188
Nevada,3118
New_Mexico,876
Utah,1351
Wyoming,125
Pacific,17035
Alaska,110
California,12150
Hawaii,470
Oregon,1536
Washington,2769
