Location,Total
United_States,92091
Northeast,8197
New_England,2100
Connecticut,470
Maine,291
Massachusetts,864
New_Hampshire,314
Rhode_Island,89
Vermont,72
Middle_Atlantic,6097
New_Jersey,2235
New_York,2276
Pennsylvania,1586
Midwest,9748
East_North_Central_D,5785
Illinois,946
Indiana,1269
Michigan,1125
Ohio,1545
Wisconsin,900
West_North_Central_D,3963
Iowa,406
Kansas,401
Minnesota,1221
Missouri,858
Nebraska,680
North_Dakota,44
South_Dakota,353
South,47702
South_Atlantic,28139
Delaware,445
District_of_Columbia,275
Florida,10235
Georgia,3956
Maryland,1055
North_Carolina,6325
South_Carolina,2608
Virginia,3048
West_Virginia,192
East_South_Central_D,4830
Alabama,1225
Kentucky,700
Mississippi,482
Tennessee,2423
West_South_Central_D,14733
Arkansas,654
Louisiana,1028
Oklahoma,847
Texas,12204
West,26444
Mountain,12878
Arizona,3005
Colorado,4177
Idaho,1226
Montana,179
Nevada,1588
New_Mexico,440
Utah,2150
Wyoming,113
Pacific,13566
Alaska,111
California,8016
Hawaii,701
Oregon,1694
Washington,3044
