Location,Total
United_States,90341
Northeast,9170
New_England,2324
Connecticut,544
Maine,291
Massachusetts,985
New_Hampshire,267
Rhode_Island,93
Vermont,144
Middle_Atlantic,6846
New_Jersey,1993
New_York,2854
Pennsylvania,1999
Midwest,17076
East_North_Central,8930
Illinois,1892
Indiana,1752
Michigan,1558
Ohio,2146
Wisconsin,1582
West_North_Central,8146
Iowa,1747
Kansas,661
Minnesota,1561
Missouri,1607
Nebraska,745
North_Dakota,1459
South_Dakota,366
South,44975
South_Atlantic,22627
Delaware,365
District_of_Columbia,907
Florida,7668
Georgia,3193
Maryland,1680
North_Carolina,4599
South_Carolina,2197
Virginia,1852
West_Virginia,166
East_South_Central,4521
Alabama,958
Kentucky,736
Mississippi,393
Tennessee,2434
West_South_Central,17827
Arkansas,498
Louisiana,1097
Oklahoma,976
Texas,15256
West,19120
Mountain,8037
Arizona,1671
Colorado,2166
Idaho,867
Montana,249
Nevada,794
New_Mexico,616
Utah,1499
Wyoming,175
Pacific,11083
Alaska,87
California,6405
Hawaii,367
Oregon,1320
Washington,2904
