Location,Total
United_States,129821
Northeast,14034
New_England,4184
Connecticut,855
Maine,573
Massachusetts,1762
New_Hampshire,536
Rhode_Island,233
Vermont,225
Middle_Atlantic,9850
New_Jersey,2166
New_York,4145
Pennsylvania,3539
Midwest,30854
East_North_Central,21590
Illinois,4679
Indiana,3516
Michigan,5637
Ohio,4716
Wisconsin,3042
West_North_Central,9264
Iowa,1211
Kansas,1088
Minnesota,2661
Missouri,2142
Nebraska,1443
North_Dakota,268
South_Dakota,451
South,55249
South_Atlantic,35332
Delaware,432
Dist._of_Columbia,0
Florida,11889
Georgia,8135
Maryland,2253
North_Carolina,5145
South_Carolina,2458
Virginia,4690
West_Virginia,330
East_South_Central,7373
Alabama,1680
Kentucky,1746
Mississippi,788
Tennessee,3159
West_South_Central,12544
Arkansas,949
Louisiana,1196
Oklahoma,813
Texas,9586
West,29684
Mountain,14232
Arizona,3653
Colorado,3373
Idaho,836
Montana,252
Nevada,3103
New_Mexico,819
Utah,1983
Wyoming,213
Pacific,15452
Alaska,542
California,8217
Hawaii,370
Oregon,2582
Washington,3741
