Location,Total
United_States,113412
Northeast,10238
New_England,3084
Connecticut,631
Maine,251
Massachusetts,1516
New_Hampshire,320
Rhode_Island,192
Vermont,174
Middle_Atlantic,7154
New_Jersey,1823
New_York,2456
Pennsylvania,2875
Midwest,24090
East_North_Central,17179
Illinois,4166
Indiana,3127
Michigan,3541
Ohio,4010
Wisconsin,2335
West_North_Central,6911
Iowa,760
Kansas,944
Minnesota,1777
Missouri,2290
Nebraska,581
North_Dakota,112
South_Dakota,447
South,53892
South_Atlantic,34335
Delaware,366
Dist._of_Columbia,0
Florida,10677
Georgia,6721
Maryland,2817
North_Carolina,5609
South_Carolina,2508
Virginia,5309
West_Virginia,328
East_South_Central,8043
Alabama,1568
Kentucky,1870
Mississippi,1405
Tennessee,3200
West_South_Central,11514
Arkansas,1136
Louisiana,1718
Oklahoma,791
Texas,7869
West,25192
Mountain,13128
Arizona,4837
Colorado,2855
Idaho,736
Montana,218
Nevada,2007
New_Mexico,816
Utah,1529
Wyoming,130
Pacific,12064
Alaska,112
California,6353
Hawaii,490
Oregon,1698
Washington,3411
