Location,Total
United_States,145491
Northeast,14560
New_England,4768
Connecticut,932
Maine,603
Massachusetts,2024
New_Hampshire,585
Rhode_Island,347
Vermont,277
Middle_Atlantic,9792
New_Jersey,2610
New_York,3620
Pennsylvania,3562
Midwest,29508
East_North_Central,20987
Illinois,4574
Indiana,3988
Michigan,4830
Ohio,4870
Wisconsin,2725
West_North_Central,8521
Iowa,1229
Kansas,1088
Minnesota,2822
Missouri,2034
Nebraska,678
North_Dakota,268
South_Dakota,402
South,65533
South_Atlantic,39857
Delaware,420
Dist._of_Columbia,20
Florida,14136
Georgia,7124
Maryland,2956
North_Carolina,7428
South_Carolina,3032
Virginia,4423
West_Virginia,318
East_South_Central,7566
Alabama,1520
Kentucky,1933
Mississippi,865
Tennessee,3248
West_South_Central,18110
Arkansas,1238
Louisiana,1971
Oklahoma,1175
Texas,13726
West,35890
Mountain,16234
Arizona,5129
Colorado,4402
Idaho,1146
Montana,245
Nevada,2576
New_Mexico,1108
Utah,1486
Wyoming,142
Pacific,19656
Alaska,227
California,12968
Hawaii,459
Oregon,2123
Washington,3879
