Location,Total
United_States,113335
Northeast,9496
New_England,2671
Connecticut,516
Maine,296
Massachusetts,1265
New_Hampshire,312
Rhode_Island,179
Vermont,103
Middle_Atlantic,6825
New_Jersey,2063
New_York,2211
Pennsylvania,2551
Midwest,18600
East_North_Central,12803
Illinois,3305
Indiana,2379
Michigan,2550
Ohio,2990
Wisconsin,1579
West_North_Central,5797
Iowa,627
Kansas,936
Minnesota,1623
Missouri,1735
Nebraska,590
North_Dakota,30
South_Dakota,256
South,58609
South_Atlantic,35936
Delaware,422
Dist._of_Columbia,71
Florida,12537
Georgia,7244
Maryland,1937
North_Carolina,6611
South_Carolina,3095
Virginia,3789
West_Virginia,230
East_South_Central,7149
Alabama,1457
Kentucky,1558
Mississippi,886
Tennessee,3248
West_South_Central,15524
Arkansas,727
Louisiana,1419
Oklahoma,923
Texas,12455
West,26630
Mountain,13442
Arizona,4791
Colorado,3242
Idaho,525
Montana,103
Nevada,3209
New_Mexico,423
Utah,1060
Wyoming,89
Pacific,13188
Alaska,245
California,8122
Hawaii,184
Oregon,1561
Washington,3076
