Location,Total
United_States,99688
Northeast,8492
New_England,2530
Connecticut,380
Maine,457
Massachusetts,1138
New_Hampshire,339
Rhode_Island,74
Vermont,142
Middle_Atlantic,5962
New_Jersey,2211
New_York,2039
Pennsylvania,1712
Midwest,17882
East_North_Central,9310
Illinois,1311
Indiana,1635
Michigan,2552
Ohio,2289
Wisconsin,1523
West_North_Central,8572
Iowa,1349
Kansas,1239
Minnesota,1855
Missouri,2049
Nebraska,1008
North_Dakota,476
South_Dakota,596
South,48767
South_Atlantic,26829
Delaware,573
District_of_Columbia,25
Florida,9428
Georgia,4382
Maryland,1352
North_Carolina,5037
South_Carolina,2783
Virginia,2997
West_Virginia,252
East_South_Central,6465
Alabama,1447
Kentucky,966
Mississippi,705
Tennessee,3347
West_South_Central,15473
Arkansas,801
Louisiana,1121
Oklahoma,1125
Texas,12426
West,24547
Mountain,10985
Arizona,2577
Colorado,3035
Idaho,1049
Montana,338
Nevada,1552
New_Mexico,403
Utah,1860
Wyoming,171
Pacific,13562
Alaska,156
California,7925
Hawaii,309
Oregon,1529
Washington,3643
