Location,Total
United_States,111773
Northeast,10488
New_England,2897
Connecticut,682
Maine,262
Massachusetts,1310
New_Hampshire,379
Rhode_Island,147
Vermont,117
Middle_Atlantic,7591
New_Jersey,1627
New_York,3877
Pennsylvania,2087
Midwest,18383
East_North_Central,13129
Illinois,2997
Indiana,2445
Michigan,2884
Ohio,2921
Wisconsin,1882
West_North_Central,5254
Iowa,636
Kansas,1381
Minnesota,1394
Missouri,1335
Nebraska,320
North_Dakota,41
South_Dakota,147
South,54301
South_Atlantic,34660
Delaware,398
Dist._of_Columbia,32
Florida,11151
Georgia,7741
Maryland,2161
North_Carolina,5914
South_Carolina,2265
Virginia,4757
West_Virginia,241
East_South_Central,6408
Alabama,1576
Kentucky,1206
Mississippi,781
Tennessee,2845
West_South_Central,13233
Arkansas,596
Louisiana,964
Oklahoma,815
Texas,10858
West,28601
Mountain,14907
Arizona,5420
Colorado,3817
Idaho,708
Montana,185
Nevada,2670
New_Mexico,668
Utah,1356
Wyoming,83
Pacific,13694
Alaska,168
California,8999
Hawaii,403
Oregon,1647
Washington,2477
