Location,Total
United_States,91335
Northeast,10238
New_England,2539
Connecticut,492
Maine,273
Massachusetts,1324
New_Hampshire,201
Rhode_Island,71
Vermont,178
Middle_Atlantic,7699
New_Jersey,1854
New_York,4692
Pennsylvania,1153
Midwest,12099
East_North_Central,6272
Illinois,1479
Indiana,1242
Michigan,1117
Ohio,1355
Wisconsin,1079
West_North_Central,5827
Iowa,834
Kansas,638
Minnesota,1498
Missouri,1417
Nebraska,504
North_Dakota,487
South_Dakota,449
South,45656
South_Atlantic,23599
Delaware,408
District_of_Columbia,402
Florida,8441
Georgia,3677
Maryland,1035
North_Carolina,4010
South_Carolina,2379
Virginia,3002
West_Virginia,245
East_South_Central,5263
Alabama,960
Kentucky,701
Mississippi,547
Tennessee,3055
West_South_Central,16794
Arkansas,527
Louisiana,1275
Oklahoma,965
Texas,14027
West,23342
Mountain,9625
Arizona,2699
Colorado,2793
Idaho,735
Montana,276
Nevada,1238
New_Mexico,367
Utah,1339
Wyoming,178
Pacific,13717
Alaska,83
California,9207
Hawaii,151
Oregon,974
Washington,3302
