Location,Total
United_States,67380
Northeast,5779
New_England,1389
Connecticut,249
Maine,160
Massachusetts,601
New_Hampshire,154
Rhode_Island,58
Vermont,167
Middle_Atlantic,4390
New_Jersey,1291
New_York,1591
Pennsylvania,1508
Midwest,10332
East_North_Central,5844
Illinois,1501
Indiana,1187
Michigan,856
Ohio,1309
Wisconsin,991
West_North_Central,4488
Iowa,805
Kansas,386
Minnesota,688
Missouri,883
Nebraska,687
North_Dakota,741
South_Dakota,298
South,34306
South_Atlantic,16527
Delaware,316
District_of_Columbia,165
Florida,5424
Georgia,1788
Maryland,1066
North_Carolina,3750
South_Carolina,1618
Virginia,2172
West_Virginia,228
East_South_Central,4455
Alabama,1131
Kentucky,882
Mississippi,409
Tennessee,2033
West_South_Central,13324
Arkansas,627
Louisiana,1042
Oklahoma,686
Texas,10969
West,16963
Mountain,6846
Arizona,1374
Colorado,1687
Idaho,488
Montana,266
Nevada,956
New_Mexico,690
Utah,1108
Wyoming,277
Pacific,10117
Alaska,56
California,6181
Hawaii,366
Oregon,721
Washington,2793
