Location,Total
United_States,132261
Northeast,11894
New_England,3892
Connecticut,986
Maine,539
Massachusetts,1432
New_Hampshire,443
Rhode_Island,233
Vermont,259
Middle_Atlantic,8002
New_Jersey,2001
New_York,2572
Pennsylvania,3429
Midwest,31346
East_North_Central,22350
Illinois,5191
Indiana,3903
Michigan,4849
Ohio,4532
Wisconsin,3875
West_North_Central,8996
Iowa,887
Kansas,1232
Minnesota,2850
Missouri,2498
Nebraska,799
North_Dakota,250
South_Dakota,480
South,55989
South_Atlantic,35370
Delaware,389
Dist._of_Columbia,0
Florida,10577
Georgia,7984
Maryland,3108
North_Carolina,6513
South_Carolina,1983
Virginia,4478
West_Virginia,338
East_South_Central,8351
Alabama,1894
Kentucky,1571
Mississippi,994
Tennessee,3892
West_South_Central,12268
Arkansas,1517
Louisiana,1163
Oklahoma,976
Texas,8612
West,33032
Mountain,17474
Arizona,5102
Colorado,3622
Idaho,1065
Montana,383
Nevada,3626
New_Mexico,1548
Utah,1942
Wyoming,186
Pacific,15558
Alaska,297
California,9570
Hawaii,260
Oregon,2110
Washington,3321
