Location,Total
United_States,120964
Northeast,11128
New_England,2911
Connecticut,563
Maine,348
Massachusetts,1161
New_Hampshire,592
Rhode_Island,146
Vermont,101
Middle_Atlantic,8217
New_Jersey,1857
New_York,3453
Pennsylvania,2907
Midwest,19941
East_North_Central,13277
Illinois,3317
Indiana,2191
Michigan,2551
Ohio,3145
Wisconsin,2073
West_North_Central,6664
Iowa,1266
Kansas,803
Minnesota,2016
Missouri,1722
Nebraska,422
North_Dakota,66
South_Dakota,369
South,61620
South_Atlantic,39584
Delaware,437
Dist._of_Columbia,2
Florida,15555
Georgia,7550
Maryland,1988
North_Carolina,6954
South_Carolina,2735
Virginia,4070
West_Virginia,293
East_South_Central,7588
Alabama,1792
Kentucky,1576
Mississippi,1125
Tennessee,3095
West_South_Central,14448
Arkansas,692
Louisiana,1256
Oklahoma,1063
Texas,11437
West,28275
Mountain,12740
Arizona,4442
Colorado,2658
Idaho,648
Montana,143
Nevada,2543
New_Mexico,989
Utah,1200
Wyoming,117
Pacific,15535
Alaska,136
California,11052
Hawaii,289
Oregon,1647
Washington,2411
