Location,Total
United_States,122725
Northeast,12043
New_England,3605
Connecticut,720
Maine,520
Massachusetts,1484
New_Hampshire,457
Rhode_Island,200
Vermont,224
Middle_Atlantic,8438
New_Jersey,2117
New_York,2772
Pennsylvania,3549
Midwest,29507
East_North_Central,21171
Illinois,4446
Indiana,3602
Michigan,4920
Ohio,4875
Wisconsin,3328
West_North_Central,8336
Iowa,1175
Kansas,852
Minnesota,2691
Missouri,1995
Nebraska,689
North_Dakota,475
South_Dakota,459
South,50580
South_Atlantic,31159
Delaware,412
Dist._of_Columbia,0
Florida,10038
Georgia,6587
Maryland,2516
North_Carolina,5701
South_Carolina,2200
Virginia,3343
West_Virginia,362
East_South_Central,7033
Alabama,1561
Kentucky,1410
Mississippi,1035
Tennessee,3027
West_South_Central,12388
Arkansas,901
Louisiana,1098
Oklahoma,881
Texas,9508
West,30595
Mountain,16210
Arizona,5066
Colorado,3373
Idaho,962
Montana,247
Nevada,3595
New_Mexico,999
Utah,1834
Wyoming,134
Pacific,14385
Alaska,283
California,7762
Hawaii,309
Oregon,2265
Washington,3766
