Location,Total
United_States,114849
Northeast,8633
New_England,2781
Connecticut,846
Maine,238
Massachusetts,1096
New_Hampshire,306
Rhode_Island,181
Vermont,114
Middle_Atlantic,5852
New_Jersey,2022
New_York,1832
Pennsylvania,1998
Midwest,16941
East_North_Central,11715
Illinois,3254
Indiana,2017
Michigan,2284
Ohio,2686
Wisconsin,1474
West_North_Central,5226
Iowa,504
Kansas,1120
Minnesota,1394
Missouri,1608
Nebraska,347
North_Dakota,48
South_Dakota,205
South,56292
South_Atlantic,35789
Delaware,383
Dist._of_Columbia,107
Florida,12487
Georgia,7672
Maryland,1845
North_Carolina,7136
South_Carolina,2389
Virginia,3535
West_Virginia,235
East_South_Central,6159
Alabama,1658
Kentucky,1002
Mississippi,757
Tennessee,2742
West_South_Central,14344
Arkansas,553
Louisiana,1354
Oklahoma,633
Texas,11804
West,32983
Mountain,13466
Arizona,3845
Colorado,3781
Idaho,690
Montana,102
Nevada,3146
New_Mexico,777
Utah,1035
Wyoming,90
Pacific,19517
Alaska,128
California,14219
Hawaii,311
Oregon,1573
Washington,3286
