Location,Total
United_States,44043
Northeast,6200
New_England,1577
Connecticut,293
Maine,248
Massachusetts,614
New_Hampshire,218
Rhode_Island,96
Vermont,108
Middle_Atlantic,4623
New_Jersey,1123
New_York,1575
Pennsylvania,1925
Midwest,10028
East_North_Central,5839
Illinois,1256
Indiana,1044
Michigan,842
Ohio,1404
Wisconsin,1293
West_North_Central,4189
Iowa,668
Kansas,329
Minnesota,1247
Missouri,653
Nebraska,608
North_Dakota,399
South_Dakota,285
South,19022
South_Atlantic,9370
Delaware,208
District_of_Columbia,11
Florida,2630
Georgia,928
Maryland,676
North_Carolina,2365
South_Carolina,1060
Virginia,1397
West_Virginia,95
East_South_Central,2824
Alabama,806
Kentucky,734
Mississippi,353
Tennessee,931
West_South_Central,6828
Arkansas,360
Louisiana,977
Oklahoma,476
Texas,5015
West,8793
Mountain,3596
Arizona,855
Colorado,763
Idaho,292
Montana,173
Nevada,433
New_Mexico,288
Utah,574
Wyoming,218
Pacific,5197
Alaska,53
California,3030
Hawaii,174
Oregon,494
Washington,1446
