Location,Total
United_States,124331
Northeast,9194
New_England,2312
Connecticut,341
Maine,431
Massachusetts,1069
New_Hampshire,251
Rhode_Island,107
Vermont,113
Middle_Atlantic,6882
New_Jersey,2411
New_York,2599
Pennsylvania,1872
Midwest,17946
East_North_Central_D,9720
Illinois,2094
Indiana,1838
Michigan,2387
Ohio,1759
Wisconsin,1642
West_North_Central_D,8226
Iowa,1113
Kansas,782
Minnesota,3281
Missouri,1431
Nebraska,905
North_Dakota,314
South_Dakota,400
South,65014
South_Atlantic,34917
Delaware,586
District_of_Columbia,698
Florida,12393
Georgia,4346
Maryland,2244
North_Carolina,7763
South_Carolina,3617
Virginia,2761
West_Virginia,509
East_South_Central_D,7788
Alabama,1296
Kentucky,1304
Mississippi,701
Tennessee,4487
West_South_Central_D,22309
Arkansas,945
Louisiana,1303
Oklahoma,980
Texas,19081
West,32177
Mountain,15239
Arizona,4282
Colorado,3653
Idaho,1751
Montana,367
Nevada,1673
New_Mexico,474
Utah,2799
Wyoming,240
Pacific,16938
Alaska,192
California,9883
Hawaii,866
Oregon,1658
Washington,4339
