Location,Total
United_States,63738
Northeast,6624
New_England,1407
Connecticut,263
Maine,139
Massachusetts,762
New_Hampshire,153
Rhode_Island,58
Vermont,32
Middle_Atlantic,5217
New_Jersey,1752
New_York,2188
Pennsylvania,1277
Midwest,7249
East_North_Central,4207
Illinois,568
Indiana,732
Michigan,734
Ohio,1677
Wisconsin,496
West_North_Central,3042
Iowa,331
Kansas,595
Minnesota,554
Missouri,800
Nebraska,393
North_Dakota,75
South_Dakota,294
South,34758
South_Atlantic,17773
Delaware,317
District_of_Columbia,55
Florida,6357
Georgia,1780
Maryland,1067
North_Carolina,3832
South_Carolina,1705
Virginia,2501
West_Virginia,159
East_South_Central,3233
Alabama,912
Kentucky,515
Mississippi,315
Tennessee,1491
West_South_Central,13752
Arkansas,365
Louisiana,1071
Oklahoma,1354
Texas,10962
West,15107
Mountain,6220
Arizona,1780
Colorado,1878
Idaho,350
Montana,159
Nevada,758
New_Mexico,501
Utah,720
Wyoming,74
Pacific,8887
Alaska,56
California,4972
Hawaii,462
Oregon,1029
Washington,2368
