Location,Total
United_States,125273
Northeast,12186
New_England,3744
Connecticut,1066
Maine,402
Massachusetts,1495
New_Hampshire,440
Rhode_Island,198
Vermont,143
Middle_Atlantic,8442
New_Jersey,2361
New_York,2988
Pennsylvania,3093
Midwest,26941
East_North_Central,17630
Illinois,3843
Indiana,4005
Michigan,3930
Ohio,3378
Wisconsin,2474
West_North_Central,9311
Iowa,1264
Kansas,1778
Minnesota,2680
Missouri,2067
Nebraska,1103
North_Dakota,142
South_Dakota,277
South,56073
South_Atlantic,35837
Delaware,395
Dist._of_Columbia,143
Florida,11306
Georgia,7448
Maryland,2601
North_Carolina,6811
South_Carolina,2907
Virginia,3980
West_Virginia,246
East_South_Central,6778
Alabama,1305
Kentucky,1722
Mississippi,1205
Tennessee,2546
West_South_Central,13458
Arkansas,587
Louisiana,1011
Oklahoma,853
Texas,11007
West,30073
Mountain,15322
Arizona,4926
Colorado,3902
Idaho,722
Montana,129
Nevada,3426
New_Mexico,847
Utah,1288
Wyoming,82
Pacific,14751
Alaska,124
California,10251
Hawaii,225
Oregon,1691
Washington,2460
