Location,Total
United_States,191266
Northeast,17391
New_England,4988
Connecticut,960
Maine,634
Massachusetts,2191
New_Hampshire,584
Rhode_Island,279
Vermont,340
Middle_Atlantic,12403
New_Jersey,2791
New_York,5085
Pennsylvania,4527
Midwest,28448
East_North_Central,18524
Illinois,5687
Indiana,3198
Michigan,2831
Ohio,4270
Wisconsin,2538
West_North_Central,9924
Iowa,1179
Kansas,1267
Minnesota,2678
Missouri,3114
Nebraska,1037
North_Dakota,157
South_Dakota,492
South,98653
South_Atlantic,60370
Delaware,547
District_of_Columbia,586
Florida,25024
Georgia,10245
Maryland,2448
North_Carolina,10140
South_Carolina,5510
Virginia,5311
West_Virginia,559
East_South_Central,10793
Alabama,2807
Kentucky,1448
Mississippi,1538
Tennessee,5000
West_South_Central,27490
Arkansas,1389
Louisiana,2432
Oklahoma,1874
Texas,21795
West,46774
Mountain,23467
Arizona,7339
Colorado,4166
Idaho,1602
Montana,362
Nevada,5889
New_Mexico,1470
Utah,2380
Wyoming,259
Pacific,23307
Alaska,238
California,15762
Hawaii,858
Oregon,2440
Washington,4009
