Location,Total
United_States,121125
Northeast,13073
New_England,3838
Connecticut,1006
Maine,392
Massachusetts,1570
New_Hampshire,440
Rhode_Island,264
Vermont,166
Middle_Atlantic,9235
New_Jersey,2487
New_York,3505
Pennsylvania,3243
Midwest,28012
East_North_Central,19154
Illinois,4556
Indiana,3369
Michigan,3901
Ohio,4711
Wisconsin,2617
West_North_Central,8858
Iowa,1417
Kansas,1184
Minnesota,2545
Missouri,2101
Nebraska,1071
North_Dakota,191
South_Dakota,349
South,53082
South_Atlantic,33610
Delaware,370
Dist._of_Columbia,51
Florida,10697
Georgia,7857
Maryland,2255
North_Carolina,5928
South_Carolina,2369
Virginia,3545
West_Virginia,538
East_South_Central,6848
Alabama,1339
Kentucky,1695
Mississippi,944
Tennessee,2870
West_South_Central,12624
Arkansas,786
Louisiana,1031
Oklahoma,716
Texas,10091
West,26958
Mountain,13175
Arizona,4382
Colorado,3759
Idaho,713
Montana,242
Nevada,2177
New_Mexico,604
Utah,1177
Wyoming,121
Pacific,13783
Alaska,83
California,9365
Hawaii,309
Oregon,1346
Washington,2680
