Location,Total
United_States,165662
Northeast,15863
New_England,4872
Connecticut,945
Maine,741
Massachusetts,1916
New_Hampshire,780
Rhode_Island,214
Vermont,276
Middle_Atlantic,10991
New_Jersey,2567
New_York,4289
Pennsylvania,4135
Midwest,35128
East_North_Central,23157
Illinois,5718
Indiana,3711
Michigan,5010
Ohio,5154
Wisconsin,3564
West_North_Central,11971
Iowa,1759
Kansas,1236
Minnesota,3964
Missouri,2934
Nebraska,1032
North_Dakota,396
South_Dakota,650
South,72234
South_Atlantic,44595
Delaware,668
District_of_Columbia,78
Florida,17206
Georgia,8689
Maryland,2180
North_Carolina,6766
South_Carolina,3951
Virginia,4596
West_Virginia,461
East_South_Central,8434
Alabama,2122
Kentucky,1845
Mississippi,1181
Tennessee,3286
West_South_Central,19205
Arkansas,1340
Louisiana,1866
Oklahoma,1495
Texas,14504
West,42437
Mountain,19358
Arizona,6341
Colorado,3799
Idaho,1397
Montana,282
Nevada,4322
New_Mexico,1159
Utah,1834
Wyoming,224
Pacific,23079
Alaska,249
California,16067
Hawaii,501
Oregon,2174
Washington,4088
