Location,Total
United_States,165014
Northeast,17257
New_England,4952
Connecticut,881
Maine,700
Massachusetts,2118
New_Hampshire,781
Rhode_Island,222
Vermont,250
Middle_Atlantic,12305
New_Jersey,2807
New_York,5590
Pennsylvania,3908
Midwest,33601
East_North_Central,23072
Illinois,5936
Indiana,4099
Michigan,5042
Ohio,4683
Wisconsin,3312
West_North_Central,10529
Iowa,1393
Kansas,1152
Minnesota,3776
Missouri,2522
Nebraska,750
North_Dakota,540
South_Dakota,396
South,74397
South_Atlantic,46107
Delaware,690
District_of_Columbia,6
Florida,18739
Georgia,8643
Maryland,2159
North_Carolina,7357
South_Carolina,2777
Virginia,5285
West_Virginia,451
East_South_Central,8904
Alabama,2301
Kentucky,1807
Mississippi,1299
Tennessee,3497
West_South_Central,19386
Arkansas,1354
Louisiana,1595
Oklahoma,1560
Texas,14877
West,39759
Mountain,18375
Arizona,6119
Colorado,3433
Idaho,1383
Montana,300
Nevada,3669
New_Mexico,1137
Utah,2130
Wyoming,204
Pacific,21384
Alaska,254
California,14611
Hawaii,467
Oregon,2055
Washington,3997
