Location,Total
United_States,135721
Northeast,13508
New_England,3899
Connecticut,816
Maine,502
Massachusetts,1691
New_Hampshire,443
Rhode_Island,219
Vermont,228
Middle_Atlantic,9609
New_Jersey,2304
New_York,3697
Pennsylvania,3608
Midwest,33542
East_North_Central,24500
Illinois,4613
Indiana,4165
Michigan,5162
Ohio,5120
Wisconsin,5440
West_North_Central,9042
Iowa,996
Kansas,1147
Minnesota,2726
Missouri,2052
Nebraska,1290
North_Dakota,219
South_Dakota,612
South,54675
South_Atlantic,32777
Delaware,398
Dist._of_Columbia,0
Florida,10904
Georgia,6512
Maryland,2176
North_Carolina,5715
South_Carolina,2719
Virginia,3982
West_Virginia,371
East_South_Central,7983
Alabama,1570
Kentucky,1627
Mississippi,832
Tennessee,3954
West_South_Central,13915
Arkansas,872
Louisiana,1219
Oklahoma,1114
Texas,10710
West,33996
Mountain,17540
Arizona,4806
Colorado,3499
Idaho,1079
Montana,275
Nevada,4923
New_Mexico,921
Utah,1830
Wyoming,207
Pacific,16456
Alaska,254
California,8647
Hawaii,623
Oregon,3083
Washington,3849
