Location,Total
United_States,117572
Northeast,10470
New_England,2362
Connecticut,321
Maine,248
Massachusetts,1291
New_Hampshire,247
Rhode_Island,118
Vermont,137
Middle_Atlantic,8108
New_Jersey,2319
New_York,3841
Pennsylvania,1948
Midwest,15918
East_North_Central_D,9549
Illinois,2224
Indiana,2360
Michigan,1644
Ohio,1799
Wisconsin,1522
West_North_Central_D,6369
Iowa,1025
Kansas,773
Minnesota,1650
Missouri,1789
Nebraska,585
North_Dakota,129
South_Dakota,418
South,57301
South_Atlantic,32267
Delaware,507
District_of_Columbia,359
Florida,11321
Georgia,5989
Maryland,1990
North_Carolina,5582
South_Carolina,3337
Virginia,2914
West_Virginia,268
East_South_Central_D,5956
Alabama,1136
Kentucky,1230
Mississippi,568
Tennessee,3022
West_South_Central_D,19078
Arkansas,1244
Louisiana,1449
Oklahoma,899
Texas,15486
West,33883
Mountain,15175
Arizona,3132
Colorado,5473
Idaho,1480
Montana,295
Nevada,1577
New_Mexico,635
Utah,2417
Wyoming,166
Pacific,18708
Alaska,140
California,11546
Hawaii,355
Oregon,1661
Washington,5006
