Location,Total
United_States,50420
Northeast,6196
New_England,1814
Connecticut,296
Maine,315
Massachusetts,853
New_Hampshire,179
Rhode_Island,58
Vermont,113
Middle_Atlantic,4382
New_Jersey,1098
New_York,1753
Pennsylvania,1531
Midwest,9097
East_North_Central,5560
Illinois,772
Indiana,1339
Michigan,787
Ohio,1569
Wisconsin,1093
West_North_Central,3537
Iowa,667
Kansas,458
Minnesota,743
Missouri,638
Nebraska,343
North_Dakota,431
South_Dakota,257
South,24848
South_Atlantic,12820
Delaware,276
District_of_Columbia,101
Florida,2894
Georgia,1690
Maryland,1126
North_Carolina,3191
South_Carolina,1192
Virginia,2224
West_Virginia,126
East_South_Central,2639
Alabama,731
Kentucky,601
Mississippi,322
Tennessee,985
West_South_Central,9389
Arkansas,508
Louisiana,840
Oklahoma,698
Texas,7343
West,10279
Mountain,4130
Arizona,942
Colorado,862
Idaho,317
Montana,188
Nevada,455
New_Mexico,508
Utah,658
Wyoming,200
Pacific,6149
Alaska,91
California,3756
Hawaii,144
Oregon,537
Washington,1621
