Location,Total
United_States,37232
Northeast,3622
New_England,916
Connecticut,114
Maine,73
Massachusetts,289
New_Hampshire,305
Rhode_Island,25
Vermont,110
Middle_Atlantic,2706
New_Jersey,666
New_York,1028
Pennsylvania,1012
Midwest,4453
East_North_Central,2529
Illinois,439
Indiana,518
Michigan,388
Ohio,719
Wisconsin,465
West_North_Central,1924
Iowa,216
Kansas,240
Minnesota,272
Missouri,767
Nebraska,180
North_Dakota,128
South_Dakota,121
South,22039
South_Atlantic,11128
Delaware,169
District_of_Columbia,81
Florida,2903
Georgia,1367
Maryland,674
North_Carolina,3031
South_Carolina,1122
Virginia,1634
West_Virginia,147
East_South_Central,2676
Alabama,763
Kentucky,487
Mississippi,476
Tennessee,950
West_South_Central,8235
Arkansas,340
Louisiana,974
Oklahoma,515
Texas,6406
West,7118
Mountain,3041
Arizona,1056
Colorado,569
Idaho,259
Montana,78
Nevada,312
New_Mexico,212
Utah,480
Wyoming,75
Pacific,4077
Alaska,41
California,2279
Hawaii,197
Oregon,481
Washington,1079
