Location,Total
United_States,44022
Northeast,4338
New_England,1072
Connecticut,208
Maine,164
Massachusetts,433
New_Hampshire,110
Rhode_Island,97
Vermont,60
Middle_Atlantic,3266
New_Jersey,766
New_York,1140
Pennsylvania,1360
Midwest,6699
East_North_Central,3692
Illinois,747
Indiana,1121
Michigan,356
Ohio,869
Wisconsin,599
West_North_Central,3007
Iowa,415
Kansas,1163
Minnesota,380
Missouri,483
Nebraska,307
North_Dakota,8
South_Dakota,251
South,24038
South_Atlantic,11215
Delaware,205
District_of_Columbia,248
Florida,3260
Georgia,1320
Maryland,701
North_Carolina,2640
South_Carolina,1259
Virginia,1434
West_Virginia,148
East_South_Central,3212
Alabama,895
Kentucky,539
Mississippi,491
Tennessee,1287
West_South_Central,9611
Arkansas,549
Louisiana,1004
Oklahoma,636
Texas,7422
West,8947
Mountain,3915
Arizona,864
Colorado,614
Idaho,320
Montana,108
Nevada,821
New_Mexico,315
Utah,779
Wyoming,94
Pacific,5032
Alaska,43
California,3031
Hawaii,190
Oregon,559
Washington,1209
