Location,Total
United_States,192245
Northeast,17831
New_England,4602
Connecticut,907
Maine,791
Massachusetts,1721
New_Hampshire,677
Rhode_Island,184
Vermont,322
Middle_Atlantic,13229
New_Jersey,3790
New_York,5566
Pennsylvania,3873
Midwest,35580
East_North_Central,23264
Illinois,5976
Indiana,3834
Michigan,4474
Ohio,5362
Wisconsin,3618
West_North_Central,12316
Iowa,1889
Kansas,1310
Minnesota,3635
Missouri,3526
Nebraska,867
North_Dakota,424
South_Dakota,665
South,89126
South_Atlantic,56440
Delaware,846
District_of_Columbia,226
Florida,25394
Georgia,8507
Maryland,2785
North_Carolina,9125
South_Carolina,4041
Virginia,5047
West_Virginia,469
East_South_Central,9923
Alabama,2292
Kentucky,2361
Mississippi,1202
Tennessee,4068
West_South_Central,22763
Arkansas,1118
Louisiana,1796
Oklahoma,1681
Texas,18168
West,49708
Mountain,22914
Arizona,8577
Colorado,4091
Idaho,1832
Montana,472
Nevada,4134
New_Mexico,1170
Utah,2342
Wyoming,296
Pacific,26794
Alaska,434
California,18202
Hawaii,822
Oregon,2886
Washington,4450
