Location,Total
United_States,70506
Northeast,5863
New_England,1433
Connecticut,180
Maine,155
Massachusetts,900
New_Hampshire,128
Rhode_Island,26
Vermont,44
Middle_Atlantic,4430
New_Jersey,1552
New_York,2001
Pennsylvania,877
Midwest,6464
East_North_Central,3664
Illinois,843
Indiana,762
Michigan,583
Ohio,903
Wisconsin,573
West_North_Central,2800
Iowa,296
Kansas,211
Minnesota,561
Missouri,725
Nebraska,420
North_Dakota,471
South_Dakota,116
South,40795
South_Atlantic,21897
Delaware,361
District_of_Columbia,849
Florida,7796
Georgia,2910
Maryland,1312
North_Carolina,3469
South_Carolina,2486
Virginia,2641
West_Virginia,73
East_South_Central,4225
Alabama,1271
Kentucky,633
Mississippi,362
Tennessee,1959
West_South_Central,14673
Arkansas,366
Louisiana,1348
Oklahoma,803
Texas,12156
West,17384
Mountain,8171
Arizona,2497
Colorado,2099
Idaho,651
Montana,78
Nevada,918
New_Mexico,284
Utah,1522
Wyoming,122
Pacific,9213
Alaska,57
California,6069
Hawaii,163
Oregon,749
Washington,2175
