Location,Total
United_States,100702
Northeast,8812
New_England,2587
Connecticut,524
Maine,354
Massachusetts,1052
New_Hampshire,391
Rhode_Island,99
Vermont,167
Middle_Atlantic,6225
New_Jersey,1594
New_York,2642
Pennsylvania,1989
Midwest,19119
East_North_Central_D,11326
Illinois,3302
Indiana,1815
Michigan,2360
Ohio,1811
Wisconsin,2038
West_North_Central_D,7793
Iowa,1182
Kansas,611
Minnesota,2401
Missouri,1845
Nebraska,819
North_Dakota,481
South_Dakota,454
South,46735
South_Atlantic,26054
Delaware,500
District_of_Columbia,679
Florida,10156
Georgia,4730
Maryland,987
North_Carolina,4786
South_Carolina,2223
Virginia,1709
West_Virginia,284
East_South_Central_D,5556
Alabama,1080
Kentucky,999
Mississippi,554
Tennessee,2923
West_South_Central_D,15125
Arkansas,813
Louisiana,1257
Oklahoma,927
Texas,12128
West,26036
Mountain,11860
Arizona,2174
Colorado,4076
Idaho,918
Montana,426
Nevada,1044
New_Mexico,314
Utah,2764
Wyoming,144
Pacific,14176
Alaska,117
California,8274
Hawaii,178
Oregon,1529
Washington,4078
