Location,Total
United_States,90255
Northeast,12589
New_England,2489
Connecticut,529
Maine,422
Massachusetts,1019
New_Hampshire,269
Rhode_Island,119
Vermont,131
Middle_Atlantic,10100
New_Jersey,1902
New_York,5775
Pennsylvania,2423
Midwest,14244
East_North_Central,9084
Illinois,2230
Indiana,1638
Michigan,1321
Ohio,2040
Wisconsin,1855
West_North_Central,5160
Iowa,839
Kansas,546
Minnesota,1405
Missouri,1032
Nebraska,583
North_Dakota,289
South_Dakota,466
South,41560
South_Atlantic,20473
Delaware,299
District_of_Columbia,15
Florida,5454
Georgia,3647
Maryland,1145
North_Carolina,4962
South_Carolina,2471
Virginia,2270
West_Virginia,210
East_South_Central,5076
Alabama,1338
Kentucky,962
Mississippi,979
Tennessee,1797
West_South_Central,16011
Arkansas,918
Louisiana,1560
Oklahoma,826
Texas,12707
West,21862
Mountain,9602
Arizona,2683
Colorado,2425
Idaho,797
Montana,274
Nevada,1302
New_Mexico,601
Utah,1246
Wyoming,274
Pacific,12260
Alaska,112
California,7331
Hawaii,515
Oregon,1354
Washington,2948
