Location,Total
United_States,94878
Northeast,5975
New_England,1806
Connecticut,400
Maine,149
Massachusetts,841
New_Hampshire,189
Rhode_Island,133
Vermont,94
Middle_Atlantic,4169
New_Jersey,1101
New_York,1379
Pennsylvania,1689
Midwest,16787
East_North_Central,11121
Illinois,2677
Indiana,2113
Michigan,2512
Ohio,2493
Wisconsin,1326
West_North_Central,5666
Iowa,594
Kansas,1147
Minnesota,1143
Missouri,2120
Nebraska,532
North_Dakota,17
South_Dakota,113
South,45971
South_Atlantic,28011
Delaware,343
Dist._of_Columbia,0
Florida,9376
Georgia,6550
Maryland,1732
North_Carolina,4662
South_Carolina,2337
Virginia,2789
West_Virginia,222
East_South_Central,6319
Alabama,1459
Kentucky,1252
Mississippi,863
Tennessee,2745
West_South_Central,11641
Arkansas,1258
Louisiana,1128
Oklahoma,839
Texas,8416
West,26145
Mountain,15265
Arizona,5410
Colorado,3706
Idaho,622
Montana,118
Nevada,3339
New_Mexico,663
Utah,1278
Wyoming,129
Pacific,10880
Alaska,124
California,5305
Hawaii,306
Oregon,2045
Washington,3100
