Location,Total
United_States,101005
Northeast,10673
New_England,3409
Connecticut,430
Maine,412
Massachusetts,1970
New_Hampshire,352
Rhode_Island,106
Vermont,139
Middle_Atlantic,7264
New_Jersey,2462
New_York,2990
Pennsylvania,1812
Midwest,14726
East_North_Central_D,8706
Illinois,1419
Indiana,1551
Michigan,2113
Ohio,1929
Wisconsin,1694
West_North_Central_D,6020
Iowa,915
Kansas,607
Minnesota,1590
Missouri,1133
Nebraska,1104
North_Dakota,309
South_Dakota,362
South,50420
South_Atlantic,28975
Delaware,608
District_of_Columbia,455
Florida,9896
Georgia,4311
Maryland,1428
North_Carolina,6242
South_Carolina,3162
Virginia,2669
West_Virginia,204
East_South_Central_D,5955
Alabama,1159
Kentucky,939
Mississippi,665
Tennessee,3192
West_South_Central_D,15490
Arkansas,1087
Louisiana,1137
Oklahoma,773
Texas,12493
West,25186
Mountain,11448
Arizona,2487
Colorado,3089
Idaho,928
Montana,383
Nevada,1576
New_Mexico,424
Utah,2421
Wyoming,140
Pacific,13738
Alaska,119
California,7950
Hawaii,276
Oregon,1800
Washington,3593
