Location,Total
United_States,140245
Northeast,14384
New_England,4529
Connecticut,975
Maine,539
Massachusetts,2060
New_Hampshire,559
Rhode_Island,187
Vermont,209
Middle_Atlantic,9855
New_Jersey,2505
New_York,3507
Pennsylvania,3843
Midwest,29821
East_North_Central,20217
Illinois,4225
Indiana,3428
Michigan,4810
Ohio,4619
Wisconsin,3135
West_North_Central,9604
Iowa,1426
Kansas,1174
Minnesota,2882
Missouri,2293
Nebraska,1000
North_Dakota,533
South_Dakota,296
South,62141
South_Atlantic,36993
Delaware,393
Dist._of_Columbia,28
Florida,11272
Georgia,7412
Maryland,3086
North_Carolina,7185
South_Carolina,2561
Virginia,4725
West_Virginia,331
East_South_Central,7694
Alabama,1488
Kentucky,1895
Mississippi,934
Tennessee,3377
West_South_Central,17454
Arkansas,738
Louisiana,1390
Oklahoma,1185
Texas,14141
West,33899
Mountain,16046
Arizona,5300
Colorado,4167
Idaho,935
Montana,209
Nevada,2856
New_Mexico,873
Utah,1559
Wyoming,147
Pacific,17853
Alaska,223
California,11022
Hawaii,355
Oregon,2233
Washington,4020
