Location,Total
United_States,123000
Northeast,11476
New_England,3373
Connecticut,633
Maine,541
Massachusetts,1263
New_Hampshire,486
Rhode_Island,190
Vermont,260
Middle_Atlantic,8103
New_Jersey,2152
New_York,3258
Pennsylvania,2693
Midwest,26748
East_North_Central,18877
Illinois,4251
Indiana,2888
Michigan,4109
Ohio,3864
Wisconsin,3765
West_North_Central,7871
Iowa,1002
Kansas,817
Minnesota,3218
Missouri,1603
Nebraska,567
North_Dakota,224
South_Dakota,440
South,53507
South_Atlantic,34090
Delaware,386
Dist._of_Columbia,125
Florida,12385
Georgia,6632
Maryland,1958
North_Carolina,6392
South_Carolina,2265
Virginia,3644
West_Virginia,303
East_South_Central,5496
Alabama,1301
Kentucky,1293
Mississippi,632
Tennessee,2270
West_South_Central,13921
Arkansas,974
Louisiana,1291
Oklahoma,835
Texas,10821
West,31269
Mountain,16616
Arizona,5264
Colorado,5559
Idaho,779
Montana,162
Nevada,2634
New_Mexico,719
Utah,1304
Wyoming,195
Pacific,14653
Alaska,244
California,8875
Hawaii,441
Oregon,2122
Washington,2971
